8374	200519326	20124581	17300261225	100051453896	13800	201707	0610000200519326170710000001380019	20170701	20171231	1	11289

8375	1394843	4012971	16801153507	100051578419	11500	201707	0610000001394843170711000001150004	20170701	20171231	1	11625

8376	3055692	4013001	16807060861	100047763943	13800	201707	0610000003055692170710000001380064	20170701	20171231	1	11631

8377	202614181	22867041	17900476091	100050172165	13800	201707	0610000202614181170710000001380072	20170701	20171231	1	11170

8378	1620629	2701611	16802102191	100049217356	6900	201707	0610000001620629170711000000690081	20170701	20170930	1	11626

8379	1620629	2701611	16802102191	100038452121	13800	201701	0610000001620629170110000001380022	20170101	20170630	1	11626

8380	1261640	4292661	16804069573	100049435758	6900	201707	0610000001261640170711000000690048	20170701	20170930	1	11628

8381	1261640	4292661	16804069573	100036328267	13800	201701	0610000001261640170110000001380086	20170101	20170630	1	11628
8382	3488556	2157961	16807031275	100050414081	7800	201707	0610000003488556170710000000780034	20170701	20171231	1	11631

8383	1750349	4408221	16804276466	100049450611	13800	201707	0610000001750349170710000001380049	20170701	20171231	1	11628

8384	1856517	5135981	16808120924	100015606081	2300	201607	0610000001856517160711000000230041	20160701	20160831	1	11633
8385	200280070	20123161	17300085716	100051408113	13800	201707	0610000200280070170710000001380072	20170701	20171231	1	11289
8386	201120878	20683931	18300678451	100035808247	13800	201701	0610000201120878170110000001380098	20170101	20170630	1	11295
8387	201120878	20683931	18300678451	100049851291	6900	201707	0610000201120878170711000000690060	20170701	20170930	1	11295
8388	202520403	20125151	17900386028	100015388693	2300	201607	0610000202520403160755000000230057	20160701	20161231	1	11170
8389	200738723	20125571	17300390448	100011450985	6900	201607	0610000200738723160711000000690031	20160701	20160930	1	11289
8390	6815211	5164101	16803716648	100051235148	12000	201710	0610000006815211171011000001200058	20171006	20181031	1	11627
8391	1792062	4698491	16802188343	100049336594	13800	201707	0610000001792062170710000001380073	20170701	20171231	1	11626
8392	3595767	2809911	16802281985	100049328136	13800	201707	0610000003595767170710000001380090	20170701	20171231	1	11626
8393	1082241	3845561	16803004164	100036233323	13800	201701	0610000001082241170110000001380009	20170101	20170630	1	11627
8394	1082241	3845561	16803004164	100048547634	4600	201707	0610000001082241170711000000460081	20170701	20170930	1	11627
8395	3162066	2973531	16806252511	100050324638	7800	201707	0610000003162066170710000000780033	20170701	20171231	1	11630
8396	1790021	2973991	16802186794	100049330737	13800	201707	0610000001790021170710000001380041	20170701	20171231	1	11626
8397	52817009	2975321	16900146399	100044718431	13800	201707	0610000052817009170710000001380078	20170701	20171231	1	11433
8398	2631334	3365361	16804319474	100034435919	13800	201701	0610000002631334170110000001380033	20170101	20170630	1	11628
8399	2631334	3365361	16804319474	100049417152	4600	201707	0610000002631334170711000000460008	20170701	20170930	1	11628
8400	3145366	3999141	16802135053	100050463480	6900	201707	0610000003145366170711000000690033	20170701	20171231	1	11626
8401	2993395	3994951	16802988831	100028757352	2300	201701	0610000002993395170111000000230019	20170101	20170131	1	11626
8402	52624973	5160931	16910390699	100049532113	13800	201707	0610000052624973170710000001380076	20170701	20171231	1	11633
8403	53475801	5135401	16807190738	100050488910	13800	201707	0610000053475801170710000001380016	20170701	20171231	1	11631
8404	56045800	3926001	16802220238	100038444038	13800	201701	0610000056045800170110000001380012	20170101	20170630	1	11626
8405	56045800	3926001	16802220238	100049078032	4600	201707	0610000056045800170711000000460084	20170701	20170930	1	11626
8406	52667569	3370681	16900005238	100045705008	13800	201707	0610000052667569170710000001380083	20170701	20171231	1	11433
8407	2196086	2586021	16808283748	100049524295	13800	201707	0610000002196086170710000001380031	20170701	20171231	1	11633
8408	4143455	2586041	16807623211	100051723804	1900	201710	0610000004143455171030000000190016	20171001	20171031	1	11631
